1-Time,2-Ang_enc_cur,3-G_Id_gs_Ref,4-G_Id_grid_ref,5-G_If_ref,6-G_Iq_gs_Ref,7-G_Iq_grid_ref,8-G_Torque,9-G_VDC_Ref,10-G_V_LinkDC,11-G_V_LinkDC_neg,12-G_V_LinkDC_pos,13-G_Vf_gen,14-G_Spd_ref,15-I0_gen,16-I_fault,17-If_gend,18-I_np,19-Ia_gen,20-Ia_grid,21-Ib_gen,22-Ib_grid,23-Ic_gen,24-Ic_grid,25-Id_gen,26-Id_grid,27-Iq_gen,28-Iq_grid,29-Electric_Omega,30-P_gen,31-P_grid,32-Q_gen,33-Q_grid,34-ma_grid,35-mb_grid,36-mc_grid,37-ma_gen,38-mb_gen,39-mc_gen,40-Vd_gen,41-Vq_gen,42-V0_gen,43-Va_conv_gen,44-Va_conv_grid,45-Va_grid,46-Vb_conv_gen,47-Vb_conv_grid,48-Vb_grid,49-Vc_conv_gen,50-Vc_conv_grid,51-Vc_grid,52-fault
15.671229649621583,1.847659148499261,0.0,-1.1631583644714925,0.3,-2.914184385623737,0.0,0.6,450.0,450.0399053373074,-224.92995457656048,223.72943490709017,75.10332868446915,377.0,-0.08935909799493465,-0.008312642597735696,0.28677353642384107,0.5037185505233924,0.7009095211645865,-0.7022479384746847,-2.9984750993377496,-1.6217013629566328,2.0294882841883592,0.4616924588763082,-0.03330217864853091,-1.204312786294636,-3.0083584755397736,0.05581690839295087,377.0254370519642,-1275.2706821844067,-316.2459480306237,599.0180499468252,-19.468270352912825,0.023386405048073697,0.6590551591249164,-0.6824415641729902,-0.175365472838771,0.8034460034229358,-0.6280805305841648,12.876913230484384,189.68096648853816,0.0,-20.252998354197832,2.9514744909207398,1.5946385579320606,180.45567730185874,148.97993897885075,151.2702869805598,-159.59891614697705,-149.65153956462305,-151.2064675896989,1.0
15.671479690161132,1.9335620726208553,0.0,-1.1511894429877463,0.3,-2.9141835010284947,0.0,0.6,450.0,450.07084885596515,-224.69536328211353,223.76237648560584,77.50138983593251,377.0,0.06363717895036683,0.03813249305703898,0.3245107126682335,0.8252292619098487,1.0985186681722463,-0.5441209826960051,-2.8391195428327296,-1.7077034138004688,1.9315124115115838,0.3252372142704546,-0.009873366234601891,-1.1777544368735133,-2.942310650035157,0.011358156937143272,377.02541971044496,-846.7134528103921,-304.45648872684257,191.35916626801307,-6.688380898572858,-0.07330488649695922,0.7014838889496032,-0.628179002452644,-0.24572806623347776,0.8210651549870792,-0.5753370887536016,12.682562757390315,189.2420536420165,0.0,-36.41212406878872,-16.59386582738731,-18.665946500610982,188.5606672202521,156.1942204695578,157.5046369429609,-146.18956721939767,-138.9709558406322,-140.3339276078486,1.0
15.671729970703126,2.031736843045536,0.0,-1.1405895108613628,0.3,-2.9141827057812155,0.0,0.6,450.0,450.09791860176597,-224.20039676899856,223.8054444672952,75.08597128946812,377.0,-0.016728078615681076,-0.012099149754326287,0.2982025443281349,0.8788093452253788,1.3131393899960324,-0.4212407690664391,-3.0298346293527048,-1.7008957573168118,1.666511003509629,0.2407054560991246,-0.014946333040722732,-1.1394748790122324,-3.0199687954737877,0.024456157386443234,377.0254033147569,-893.3014643207197,-292.9126917831154,150.02801254592035,-4.868035909692067,-0.1528837951929412,0.7265020680957562,-0.5736182729028149,-0.3245798174935327,0.8385701575525593,-0.5139903400590266,12.7451178703825,189.89004338259187,0.0,-53.98298457679987,-34.14401926767787,-34.926897045605614,190.98613478487496,161.41361959794907,162.40490361589391,-135.16640333091215,-129.6128838094423,-130.4146309631787,1.0
15.671979691247557,2.117639767167134,0.0,-1.0935751295842135,0.3,-2.9141819959309565,0.0,0.6,450.0,450.2201192387874,-224.02681138111797,223.86644057713468,76.10640340610979,377.0,0.008750760256762097,0.013157658619952528,0.3098853287759025,0.9914075806451617,1.593482194280831,-0.34563147190771193,-2.9459876650288406,-1.7379350480666518,1.3787577515182958,0.13256845118564392,0.05526200523297791,-1.1219554861704382,-2.9568216271434826,0.017883866601530046,377.0253878230181,-850.9039100643249,-288.1573897261573,180.66478721625282,-0.6345332107377318,-0.2222761603248215,0.7513757306420268,-0.5290995703172054,-0.39193748817493146,0.8427633368309384,-0.450825848656007,12.060949756768153,189.48536604573357,0.0,-69.35463268660544,-47.28113115787221,-47.207000825806446,195.6114237791069,164.90824179149746,166.06457331980332,-121.1729932873318,-118.66645787780396,-119.6677833174152,1.0
15.672229691784668,2.2158145375918146,0.0,-1.070572066552216,0.3,-2.9141813675359014,0.0,0.6,450.0,450.27814972706494,-224.085748407966,223.95887733971801,74.27504597564628,377.0,-0.05330853830581517,-0.012824225592822147,0.2906677979064302,0.9782806868190561,1.8814075079195558,-0.278702943815424,-3.0924127024140144,-1.7561626490066211,1.0510795795770131,0.014119256569109905,0.10776035637495229,-1.0957009106168172,-3.074793757108859,-0.001321769957162598,377.0253731934576,-875.9816630667757,-282.62781528840725,123.97549089086985,0.6235719215295298,-0.2816883347973809,0.7625182065041796,-0.4808298717067987,-0.4679222121368358,0.8459507893131802,-0.3780285771763445,11.469633668053511,190.46965342480715,0.0,-86.54819824011969,-60.61739631702627,-60.88386592734889,196.64129588250358,168.2938473638111,169.7342920418713,-108.24082046443077,-106.26018367186491,-107.32179887020284,1.0
15.67247977232666,2.3139893080164953,0.0,-1.1016280388591002,0.3,-2.9141808156858784,0.0,0.6,450.0,450.1940294005771,-224.33636434497555,224.00259342712084,76.75532636658833,377.0,0.05896322116763845,0.013197940610980273,0.3090122166203804,0.9720420134586628,2.1166123271584225,-0.21572205084383736,-2.8004689724417857,-1.7796470497756884,0.8607463087862786,-0.13822723349711666,0.0847822044035015,-1.069140934594841,-2.948711176039534,-0.02282951867446994,377.0253593741244,-847.668952611988,-277.71844120828933,202.3800003727376,2.755026602083716,-0.3439660190359802,0.7578377214351404,-0.4138717023991603,-0.5321322979200652,0.8333319565093521,-0.301199658589287,11.570086618440783,189.6135767331312,0.0,-102.21766270625932,-76.28686078316598,-77.96408551639395,199.06006410168757,171.7421831706902,172.76056908609294,-90.67056898782312,-92.35295157188636,-93.43906505843195,1.0
15.672729692871094,2.399892232138093,0.0,-1.1278825750459438,0.3,-2.9141803354926594,0.0,0.6,450.0,450.1233516212084,-224.6965213089662,224.05354997292085,75.74707487801756,377.0,-0.033350154484694985,0.0004889724417856067,0.2849971006195259,0.7406370807519763,2.346314050965909,-0.08430205511642762,-2.723087267677845,-1.7404123905148468,0.276722753257851,-0.22026150822473806,0.33056823024423687,-1.0612361834514061,-2.924576282089103,-0.029981676000481343,377.0253463133164,-783.7951425212775,-277.2695719915879,257.82283489828444,2.4172645290043953,-0.41169741866378096,0.7500618555737868,-0.3383644369100059,-0.5936191661321268,0.81484866929548,-0.22122950316335313,9.010473472822127,189.45330314001833,0.0,-118.201387376629,-94.49598620209349,-96.44630235676131,195.94821814526802,173.29490873403137,173.70334969878252,-75.87810974279,-75.70568718735316,-76.79629880583637,1.0
15.672979773413086,2.498067002562774,0.0,-1.1318569580162938,0.3,-2.9141799228063805,0.0,0.6,450.0,450.11172468738016,-224.9174123745093,224.10852585761717,77.78489395428333,377.0,0.09078282906582855,0.01829361247596679,0.2996103999145481,0.5843530260628069,2.70349014947966,0.0489104892117069,-2.4412945994445634,-1.7530407947019853,0.010152937162388902,-0.3768376073488582,0.4354214147451717,-1.0854004989167267,-2.9393615081007134,-0.06798854557937761,377.0253339671185,-826.3988206413901,-286.83601777739716,265.47090504835455,17.461404341865276,-0.49195196703778077,0.7406553152631905,-0.24870334822540982,-0.653718058059757,0.7878730213386507,-0.13415496327889354,7.56524729932481,189.58146237021873,0.0,-132.52519695663312,-111.35184384234142,-112.80919953844058,193.46184744029043,173.0863154783168,173.77673798290985,-55.04619058449053,-61.269511313394574,-61.88141989846614,1.0
15.673230693957521,2.5962417729874545,0.0,-1.1441758782732347,0.3,-2.914179572755385,0.0,0.6,450.0,450.0783371327611,-224.80620161304935,224.18173546796172,76.95447963554798,377.0,-0.05562005322428082,-0.021061892757957335,0.2858218743858151,0.23269124439222355,2.6533321651661725,0.1697967442854099,-2.5167629096346937,-1.7095966673787637,-0.30342941520432126,-0.3943804144413585,0.31267468979390517,-1.1129038691699944,-2.9788596888307164,-0.03861967019098376,377.0253222840317,-1245.2524435547919,-295.05691225613697,645.6444863430536,15.245701900473364,-0.5434408259601123,0.7282098614407407,-0.18476903548062837,-0.702466552367171,0.7575640961031935,-0.0550975437360224,8.270198059537357,189.92137118333392,0.0,-147.84385933433038,-123.6375298303781,-123.82528822210642,184.61566630378135,171.63042590813936,171.63568808374305,-35.06569732834865,-48.510303409100615,-49.18098917990595,1.0
15.67347993449707,2.682144697109049,0.0,-1.1955638410056795,0.3,-2.9141792804905426,0.0,0.6,450.0,449.94293387085384,-224.80854126343465,224.23638813083264,79.7176551134373,377.0,0.03821022711874755,0.005927041230506025,0.30467082503738524,0.027071821192053036,2.765179429181799,0.21179071993163914,-2.332110262764367,-1.772899816278572,-0.3184384850611893,-0.5209867122409729,0.16725373370082577,-1.1579429293659955,-2.9597317266383483,-0.04595283856727392,377.0253112128118,-844.614630089759,-306.55619645792564,158.533723371595,19.09761124112107,-0.5791400248055708,0.7093881056529341,-0.13024808084736322,-0.7378625890856949,0.7252413081070704,0.012621280978624494,9.349188733155657,189.82979407775278,0.0,-160.43588811835068,-131.15541347575294,-130.55653820621222,178.05578905618475,167.74571910061943,168.16816778765215,-12.565641155735955,-36.81690046101261,-36.92950335033542,1.0
